"Snaptime","OP","H2F","hang","Distance","PuntID","playerIDP","PLocID","playerIDLS","SnapLocID","PDate","Returned","Return_Yards","Date","Practice","Game","precipitation","wind","grass","turf","temp"
0.71,2.04,1.33,"","",1,96,"",41,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.73,2.06,1.33,"","",2,61,"",41,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.72,2.09,1.37,"","",3,96,"",41,2,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.82,2.19,1.37,"","",4,61,"",98,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.74,2.12,1.38,3.9,45,5,96,1,41,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.73,2.13,1.4,2.81,34,6,96,3,41,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.77,2.19,1.42,3.43,39,7,96,1,41,3,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.69,2.06,1.37,2.78,35,8,96,1,41,1,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.79,2.17,1.38,4.23,40,9,61,3,98,2,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.82,2.2,1.38,3.51,37,10,61,1,98,3,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.82,2.15,1.33,4.07,44,11,61,1,98,2,"2024-08-02","","","2024-08-02",1,0,0.66,13,1,0,74.45
0.73,2.06,1.33,"","",12,96,"",41,1,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.75,2.16,1.41,"","",13,96,"",41,1,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.75,2.24,1.49,"","",14,96,"",41,1,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.72,2.05,1.33,"","",15,96,"",41,1,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.84,2.21,1.37,"","",16,61,"",98,2,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.77,2.17,1.4,"","",17,96,"",41,3,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.69,2.06,1.37,"","",18,96,"",41,1,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
0.72,2.06,1.34,"","",19,96,"",41,2,"2024-08-03","","","2024-08-03",1,0,0.49,15,1,0,72.7
